Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Cytoskeleton	Cz07g21050	AT3G53760	(1 of 1) K16571 - gamma-tubulin complex component 4 (TUBGCP4, GCP4)	0.7159	0.377318	-1.2004	0.210968	-3.9512	0.066855	-2.0349	0.081952
Purine	Cz07g21060	AT2G45730	(1 of 1) K03256 - tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit (TRM6, GCD10)	-0.1272	0.407515	0.1607	0.625198	-0.0089	0.962271	-0.2968	0.107869
Protein_Methylation	Cz07g21080	AT3G61740	(1 of 1) PTHR13793:SF92 - HISTONE-LYSINE N-METHYLTRANSFERASE ATX3	0.4996	0.529045	-1.0007	0.150823	-1.8832	0.104644	-0.3829	0.423347
Purine	Cz07g21120	AT3G56120	(1 of 2) 2.1.1.228 - tRNA (guanine(37)-N(1))-methyltransferase. / tRNA-(N(1)G37) methyltransferase.	-0.1439	0.466676	0.1916	0.379682	-0.1153	0.044277	-0.4508	0.063852
DNA_Repair	Cz07g21130	AT3G23100	(1 of 1) K10886 - DNA-repair protein XRCC4 (XRCC4)	0.0041	0.991503	0.1828	0.657453	-0.8912	0.103313	-1.0699	0.048089
Ubiquitin_Proteasome	Cz07g21150	AT5G47430	(1 of 1) PTHR15439:SF13 - E3 UBIQUITIN LIGASE PQT3-LIKE	0.0012	0.99388	0.2288	0.55739	0.082	0.675222	-0.1455	0.489175
Polyamine_Biosynthesis	Cz07g21180	AT5G05920	(1 of 1) 2.5.1.46 - deoxyhypusine synthase. / spermidine dehydrogenase.	-0.0774	0.56284	0.2303	0.1221	0.1557	0.102469	-0.1519	0.154878
Protein_Kinase_Signalling	Cz07g21190	AT5G03320	(1 of 1) PTHR45621:SF48 - SERINE_THREONINE-PROTEIN KINASE PCRK2	-0.0466	0.898603	-0.8035	0.824984	-1.8579	0.140695	-1.1011	0.349115
Pectin_Cell_Wall	Cz07g21220	AT2G35610	(1 of 1) PTHR46936:SF1 - ARABINOSYLTRANSFERASE XEG113	0.1355	0.312381	0.0095	0.964327	-0.2252	0.027928	-0.0992	0.461613
Lysine	Cz07g21240	AT2G44040	(1 of 2) K00215 - 4-hydroxy-tetrahydrodipicolinate reductase (dapB)	-0.2919	0.311931	0.2709	0.201494	0.6375	0.025274	0.0747	0.528991
Omega3_Fatty_Acid	Cz07g22010	AT1G01760	(1 of 1) 3.5.4.34 - tRNA(Ala)(adenine(37)) deaminase. / tRNA(Ala)(adenine(37)) deaminase.	0.2085	0.162313	0.0793	0.484445	-0.3972	0.017234	-0.268	0.027137
Protein_Phosphatase_Signalling	Cz07g22030	AT5G19680	(1 of 1) K17550 - protein phosphatase 1 regulatory subunit 7 (PPP1R7, SDS22)	1.0492	0.405019	-0.7812	0.528036	-2.2985	0.108147	-0.4682	0.641534
Ubiquitin_Proteasome	Cz07g22040	AT1G53750	(1 of 1) PTHR23073:SF173 - 26S PROTEASOME REGULATORY SUBUNIT 7 HOMOLOG A	0.1079	0.463367	0.2072	0.17476	-0.2048	0.050391	-0.3042	0.083943
Vitamin_E_Tocopherol	Cz07g22050	AT3G63410	(1 of 1) 2.1.1.295 - 2-methyl-6-phytyl-1,4-hydroquinone methyltransferase. / MPBQ/MSBQ methyltransferase.	0.041	0.704356	0.1474	0.042643	-0.1693	0.133717	-0.2758	0.042422
Translation	Cz07g22070	AT1G07470	(1 of 3) K03122 - transcription initiation factor TFIIA large subunit (TFIIA1, GTF2A1, TOA1)	-0.0326	0.622616	0.1768	0.418133	0.1201	0.372615	-0.0894	0.155559
Ubiquitin_Proteasome	Cz07g22080	AT1G55250	(1 of 1) PTHR23163:SF7 - E3 UBIQUITIN-PROTEIN LIGASE BRE1-LIKE 2	0.0742	0.596317	-0.0682	0.78893	-0.5879	0.024472	-0.4454	0.03637
Ubiquitin_Proteasome	Cz07g22090	AT2G44950	(1 of 1) PTHR23163:SF0 - E3 UBIQUITIN-PROTEIN LIGASE BRE1	0.0327	0.87237	-0.013	0.978627	-0.5513	0.103043	-0.5057	0.03828
Flowering_Time	Cz07g22110	AT3G57880	(1 of 2) PTHR31425:SF50 - FT-INTERACTING PROTEIN 3-RELATED	0.3002	0.374917	0.2323	0.176979	-0.5538	0.090715	-0.486	0.023965
Redox_Metabolism	Cz07g22160	AT1G79870	(1 of 1) PTHR10996:SF178 - 2-HYDROXYACID DEHYDROGENASE YGL185C-RELATED	0.0746	0.624654	0.1663	0.234884	0.1074	0.310033	0.0157	0.859565
N_Glycosylation	Cz07g22190	AT5G38460	(1 of 1) 2.4.1.267 - dolichyl-P-Glc:Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase. / Dol-P-Glc:Man9GlcNAc2-PP-Dol alpha-1->3-glucosyltransferase.	0.2395	0.29147	0.1826	0.303624	-0.5983	0.020869	-0.5414	0.042531
RNA_Splicing	Cz07g22200	AT5G62050	(1 of 1) PTHR12428:SF34 - CYTOCHROME C OXIDASE ASSEMBLY PROTEIN COX18, MITOCHONDRIAL	0.1456	0.2787	0.0351	0.760852	-0.2542	0.027009	-0.1437	0.124758
Protein_Kinase_Signalling	Cz07g22220	AT5G10930	(1 of 1) PTHR43895:SF146 - CBL-INTERACTING SERINE_THREONINE-PROTEIN KINASE 5	-0.0533	0.762217	0.0248	0.916489	-0.1545	0.301566	-0.2327	0.158266
Protein_Proteolysis	Cz07g22240	AT5G19660	(1 of 1) 3.4.21.112 - site-1 protease. / subtilisin/kexin isozyme 1.	0.0707	0.884027	-0.577	0.809677	-0.9402	0.139536	-0.2925	0.788487
Protein_Proteolysis	Cz07g23020	AT4G20850	(1 of 1) K01280 - tripeptidyl-peptidase II [EC:3.4.14.10] (TPP2)	0.1851	0.777193	-0.3106	0.545422	-3.7774	0.083289	-3.2817	0.053807
Cytoskeleton	Cz07g23030	AT1G05320	(1 of 1) PTHR43049:SF1 - MYOSIN HEAVY CHAIN, EMBRYONIC SMOOTH PROTEIN	0.1909	0.774069	-0.8247	0.704228	-2.0086	0.093222	-0.9931	0.240088
Vitamin_E_Tocopherol	Cz07g23050	AT1G64970	(1 of 1) K05928 - tocopherol O-methyltransferase (E2.1.1.95)	0.1878	0.196903	0.6497	0.044916	0.1897	0.037328	-0.2722	0.025028
Cytoskeleton	Cz07g23080	AT1G50360	(1 of 1) PTHR13140:SF849 - MYOSIN-3	0.0684	0.643992	0.1564	0.600124	-0.7893	0.011524	-0.8773	0.025156
RNA_Processing	Cz07g23100	AT1G31500	(1 of 2) PTHR12121:SF68 - RNA EXONUCLEASE NGL2-RELATED	0.1677	0.460319	0.2525	0.162367	-0.3322	0.098487	-0.417	0.08951
Autophagy	Cz07g23120	AT4G16520	(1 of 1) PTHR10969:SF100 - AUTOPHAGY-RELATED PROTEIN 8F	0.2341	0.417641	0.1543	0.468723	-0.7526	0.055859	-0.6728	0.024057
Selective_Autophagy	Cz07g23140	AT5G01220	(1 of 1) K06119 - sulfoquinovosyltransferase (SQD2)	-0.2307	0.255394	-0.0661	0.566736	0.0159	0.809544	-0.1487	0.141756
tRNA_Modification	Cz07g23160	AT3G52260	(1 of 3) 5.4.99.28 - tRNA pseudouridine(32) synthase. / pseudouridine synthase RluA.	0.22	0.364605	-0.1658	0.336886	-0.6379	0.029509	-0.252	0.181452
Chloroplast_Function	Cz07g24110	AT2G38330	(1 of 1) PTHR42893:SF46 - PROTEIN DETOXIFICATION 44, CHLOROPLASTIC	0.2364	0.445809	0.5039	0.51646	-2.7171	0.008252	-2.9846	0.046063
Purine	Cz07g24140	AT4G29860	(1 of 1) PTHR19854:SF1 - GUANINE NUCLEOTIDE-BINDING PROTEIN SUBUNIT BETA-LIKE PROTEIN 1	0.0126	0.884552	0.1479	0.534958	-0.0821	0.275193	-0.2174	0.219871
RNA_Degradation	Cz07g24160	AT1G02080	(1 of 1) K12604 - CCR4-NOT transcription complex subunit 1 (CNOT1, NOT1)	0.195	0.288644	-0.041	0.920113	-1.2506	0.007844	-1.0146	0.023965
Ubiquitin_Proteasome	Cz07g24170	AT5G06600	(1 of 1) PTHR24006:SF942 - UBIQUITIN C-TERMINAL HYDROLASE 12	0.1014	0.543155	-3e-04	0.999035	-0.9648	0.015323	-0.8631	0.028853
Arginine	Cz07g25030	AT1G75330	(1 of 1) 2.1.3.3 - ornithine carbamoyltransferase. / OTCase.	-0.2106	0.332191	0.2827	0.248011	0.3989	0.076491	-0.0944	0.378174
Chloroplast_Function	Cz07g25080	AT3G62590	(1 of 1) PTHR46483:SF5 - PHOSPHOLIPASE A1 PLIP3, CHLOROPLASTIC	0.1315	0.515877	0.1435	0.566254	0.0401	0.771095	0.028	0.860302
Translation	Cz07g25090	AT2G33370	(1 of 3) K02894 - large subunit ribosomal protein L23e (RP-L23e, RPL23)	-0.0796	0.560889	0.2671	0.268742	0.2675	0.09012	-0.0792	0.566735
Transcription	Cz07g25120	AT4G37260	(1 of 1) PTHR45614:SF316 - TRANSCRIPTION FACTOR MYB73	-0.0497	0.865727	-0.3012	0.797553	-1.8736	0.018215	-1.6221	0.036286
Redox_Metabolism	Cz07g25130	AT5G50850	(1 of 3) K00162 - pyruvate dehydrogenase E1 component beta subunit (PDHB, pdhB)	0.1219	0.308616	0.2463	0.234502	-0.3641	0.022807	-0.4885	0.03512
Histone_Modification	Cz07g25190	AT5G26040	(1 of 1) K11418 - histone deacetylase 11 (HDAC11)	0.2397	0.314692	0.0807	0.817725	-0.6663	0.023995	-0.5073	0.068517
Raffinose_Galactinol	Cz07g25200	AT2G47180	(1 of 1) PTHR11183:SF193 - GALACTINOL SYNTHASE 1	0.484	0.332134	0.1956	0.824733	-0.6027	0.236512	-0.3143	0.35673
Glutamate	Cz07g25230	AT1G48520	(1 of 1) 6.3.5.6//6.3.5.7 - asparaginyl-tRNA synthase (glutamine-hydrolyzing). / GatCAB. // glutaminyl-tRNA synthase (glutamine-hydrolyzing). / Glu-tRNA(Gln) amidotransferase.	-0.062	0.479824	0.2299	0.062974	0.1899	0.017091	-0.102	0.168322
Glutamate	Cz07g25240	AT1G48520	(1 of 1) 6.3.5.6//6.3.5.7 - asparaginyl-tRNA synthase (glutamine-hydrolyzing). / GatCAB. // glutaminyl-tRNA synthase (glutamine-hydrolyzing). / Glu-tRNA(Gln) amidotransferase.	-0.0649	0.615381	0.3106	0.22727	0.335	0.057444	-0.0406	0.55043
Ubiquitin_Proteasome	Cz07g25290	AT5G57990	(1 of 1) PTHR24006:SF758 - UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 36	-0.124	0.546952	0.3	0.400036	-0.2172	0.202388	-0.6411	0.052095
Cell_Cycle_Chromatin	Cz07g26030	AT4G33260	(1 of 6) K03363 - cell division cycle 20, cofactor of APC complex (CDC20)	0.3841	0.304627	-0.2599	0.63575	-2.0831	0.014265	-1.4391	0.041014
Redox_Metabolism	Cz07g26050	AT4G12870	(1 of 3) PTHR13234:SF53 - GAMMA INTERFERON RESPONSIVE LYSOSOMAL THIOL (GILT) REDUCTASE FAMILY PROTEIN-RELATED	0.1806	0.32297	0.1169	0.424936	-0.23	0.036225	-0.1663	0.21834
RNA_Splicing	Cz07g26070	AT4G19160	(1 of 1) PTHR31350:SF30 - TRANSGLUTAMINASE FAMILY PROTEIN	0.2171	0.296801	0.0066	0.972305	-0.0443	0.702928	0.1662	0.178205
Abscisic_Acid_ABA	Cz07g26210	AT2G29090	(1 of 1) PTHR24286:SF220 - ABSCISIC ACID 8'-HYDROXYLASE 2	0.64	0.211613	0.8458	0.095456	-1.496	0.017711	-1.7018	0.022785
RNA_Splicing	Cz07g26230	AT4G28070	(1 of 1) PTHR12169:SF31 - AFG1-LIKE ATPASE FAMILY PROTEIN	0.445	0.247921	-0.029	0.953562	-0.9719	0.021552	-0.4978	0.140882
Tyrosine	Cz07g26240	AT1G71860	(1 of 1) PTHR19134:SF449 - RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE GAMMA	0.1853	0.492014	0.1381	0.586959	-0.6148	0.016695	-0.5676	0.095374
Tyrosine	Cz07g26250	AT1G71860	(1 of 1) PTHR19134:SF449 - RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE GAMMA	-0.0281	0.87098	0.1935	0.476509	-0.502	0.041068	-0.7236	0.029046
Translation	Cz07g26260	AT5G05210	(1 of 1) PF04935//PF15459 - Surfeit locus protein 6 (SURF6) // 60S ribosome biogenesis protein Rrp14 (RRP14)	-0.1553	0.615381	0.4126	0.27161	0.0444	0.809446	-0.5235	0.127307
Nuclear_Transport	Cz07g27100	AT3G08960	(1 of 1) PTHR10997:SF7 - IMPORTIN-11	0.1036	0.606773	0.03	0.898378	-0.3346	0.111679	-0.2611	0.055302
RNA_Splicing	Cz07g27120	AT2G33340	(1 of 1) PTHR43995:SF3 - PRE-MRNA-PROCESSING FACTOR 19 HOMOLOG 2	3e-04	0.996987	0.1465	0.34692	-0.0829	0.369159	-0.229	0.037608
mRNA_3_Processing	Cz07g27210	AT1G71800	(1 of 1) K14407 - cleavage stimulation factor subunit 2 (CSTF2, RNA15)	0.04	0.805518	0.1866	0.334319	-0.1278	0.321591	-0.2743	0.078366
Vesicle_Trafficking	Cz07g27240	AT5G16280	(1 of 1) PF12739 - ER-Golgi trafficking TRAPP I complex 85 kDa subunit (TRAPPC-Trs85)	0.1102	0.405984	0.255	0.296294	-0.4581	0.017345	-0.6028	0.030794
DNA_Repair	Cz07g27250	AT2G28560	(1 of 1) K10869 - RAD51-like protein 1 (RAD51L1, RAD51B)	0.3593	0.221622	0.3447	0.151499	-0.4837	0.03216	-0.4691	0.027984
Clathrin_Endocytosis	Cz07g27260	AT3G11130	(1 of 2) K04646 - clathrin heavy chain (CLTC)	0.2131	0.310242	0.0848	0.788966	-0.9391	0.014098	-0.8108	0.027666
Protein_Kinase_Signalling	Cz07g28010	AT1G48540	(1 of 1) PTHR15454:SF69 - SERINE_THREONINE-PROTEIN KINASE 11-INTERACTING PROTEIN	1.1032	0.254105	-0.3454	0.734425	0.0791	0.850127	1.5278	0.189224
COP9_Signalosome	Cz07g28020	AT5G14250	(1 of 1) K12177 - COP9 signalosome complex subunit 3 (COPS3, CSN3)	0.0937	0.623645	0.2729	0.212962	-0.128	0.377939	-0.3072	0.075094
tRNA_Aminoacylation	Cz07g28040	AT4G16510	(1 of 2) PF04073 - Aminoacyl-tRNA editing domain (tRNA_edit)	0.1711	0.480351	0.0911	0.677403	-0.0063	0.971345	0.0737	0.525743
Ubiquitin_Proteasome	Cz07g28070	AT1G67250	(1 of 2) K11599 - proteasome maturation protein (POMP, UMP1)	0.1923	0.275379	0.4886	0.146251	-0.2205	0.12782	-0.5168	0.028134
Histone_Modification	Cz07g28080	AT5G26040	(1 of 1) K11418 - histone deacetylase 11 (HDAC11)	0.0812	0.495532	0.0229	0.934793	-0.0649	0.649668	-0.0066	0.954366
Beta_Oxidation	Cz07g28100	AT5G42890	(1 of 1) 4.2.1.107//4.2.1.119 - 3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase. / D-3-hydroxyacyl-CoA dehydratase. // enoyl-CoA hydratase 2. / ECH2.	0.4684	0.336324	-0.0144	0.983063	-1.0138	0.052493	-0.531	0.168864
Chloroplast_Function	Cz07g28150	AT1G60950	(1 of 1) PTHR43112:SF3 - FERREDOXIN-2, CHLOROPLASTIC	-0.2355	0.231873	-0.0871	0.471005	0.9475	0.015267	0.7991	0.017143
Translation	Cz07g28160	AT4G25890	(1 of 2) PTHR47207:SF2 - 60S ACIDIC RIBOSOMAL PROTEIN P3-1-RELATED	-0.1865	0.280656	0.1976	0.284585	0.2882	0.084323	-0.0959	0.344285
Histone_Modification	Cz07g28240	AT4G40040	(1 of 3) PTHR11426:SF210 - HISTONE H3.3	0.7645	0.761787	1.4923	0.603207	0.7436	0.596375	0.0158	0.995252
Protein_Acetylation	Cz07g28250	AT5G12410	(1 of 1) K06963 - tRNA acetyltransferase TAN1 (TAN1, THUMPD1)	-0.098	0.551784	0.3016	0.217318	0.2488	0.086254	-0.1507	0.321395
RNA_Splicing	Cz07g28300	AT3G62020	(1 of 1) PTHR31238:SF327 - GERMIN-LIKE PROTEIN SUBFAMILY 2 MEMBER 4	0.086	0.674895	-0.4275	0.268742	-1.0097	0.03584	-0.4962	0.072631
Histone_Modification	Cz07g29020	AT3G18520	(1 of 1) PTHR10625:SF16 - HISTONE DEACETYLASE 15	0.6058	0.22205	0.0366	0.941582	-1.3956	0.010988	-0.8263	0.063947
Phosphate_Transport	Cz07g29050	AT2G13100	(1 of 1) PTHR43184:SF18 - GLYCEROL-3-PHOSPHATE TRANSPORTER 5-RELATED	0.1255	0.35327	0.1284	0.428611	-0.1619	0.156279	-0.1647	0.106175
Protein_Methylation	Cz07g29070	AT1G76710	(1 of 1) PTHR22884:SF455 - HISTONE-LYSINE N-METHYLTRANSFERASE ASHH1	0.2373	0.256124	0.0043	0.979965	-0.7385	0.019438	-0.5054	0.030761
Vitamin_B2_Riboflavin	Cz07g29100	AT1G49880	(1 of 1) K17783 - mitochondrial FAD-linked sulfhydryl oxidase [EC:1.8.3.2] (ERV1, GFER, ALR)	0.1846	0.347299	0.234	0.171797	-0.0777	0.349291	-0.127	0.330028
Sugar_Transport	Cz07g29150	AT3G11320	(1 of 2) PTHR11132:SF470 - SUGAR PHOSPHATE TRANSPORTER DOMAIN-CONTAINING PROTEIN	0.2938	0.225083	0.3138	0.178581	0.0354	0.701005	0.0155	0.884743
Histone_Modification	Cz07g29180	AT5G59870	(1 of 1) PTHR23430:SF298 - HISTONE H2A.7-RELATED	-0.0382	0.784343	0.0837	0.837991	-0.6451	0.042327	-0.7671	0.041258
Cell_Cycle_Chromatin	Cz07g29230	AT2G26430	(1 of 1) KOG0835 - Cyclin L	0.2157	0.479535	0.0741	0.679135	-0.1746	0.399075	-0.0329	0.668064
Chloroplast_Function	Cz07g29240	AT3G01370	(1 of 1) PTHR31846:SF20 - CRM-DOMAIN CONTAINING FACTOR CFM2, CHLOROPLASTIC	0.043	0.759093	0.2036	0.147302	-0.1404	0.250731	-0.301	0.02898
Meiosis_Recombination	Cz07g29250	AT4G35520	(1 of 1) K08739 - DNA mismatch repair protein MLH3 (MLH3)	0.2598	0.488853	-0.8154	0.367744	-2.6712	0.015816	-1.5961	0.053021
Protein_Kinase_Signalling	Cz07g29270	AT5G02070	(1 of 1) PTHR27005:SF11 - WALL-ASSOCIATED RECEPTOR KINASE-LIKE 15-RELATED	0.335	0.370834	-0.1917	0.621224	-0.481	0.116613	0.0456	0.836267
Chloroplast_Function	Cz07g29280	AT4G14690	(1 of 1) PTHR14154:SF96 - EARLY LIGHT-INDUCED PROTEIN 2, CHLOROPLASTIC	0.0817	0.839827	-0.3845	0.644473	1.5729	0.075114	2.0391	0.128666
Protein_Kinase_Signalling	Cz07g29290	AT4G23650	(1 of 1) PTHR24349:SF517 - CALCIUM-DEPENDENT PROTEIN KINASE 3	0.4833	0.356551	-0.2648	0.901145	-1.3537	0.101893	-0.6056	0.483968
Redox_Metabolism	Cz07g30010	AT1G24360	(1 of 1) PTHR42879:SF2 - 3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE FABG	0.304	0.375364	0.2142	0.450192	-0.1465	0.41912	-0.0566	0.793685
One_Carbon_Metabolism	Cz07g30020	AT1G54650	(1 of 1) PTHR22809:SF14 - METHYLTRANSFERASE-LIKE PROTEIN	-0.0942	0.852028	0.5266	0.317266	0.6077	0.128609	-0.0131	0.96936
Zeaxanthin	Cz07g30060	AT5G67030	(1 of 1) K09838 - zeaxanthin epoxidase (ZEP, ABA1)	-0.2058	0.282224	-0.6962	0.090193	0.0229	0.865688	0.5133	0.020098
Cell_Cycle_Chromatin	Cz07g30080	AT5G27620	(1 of 1) K06634 - cyclin H (CCNH)	0.3014	0.249608	0.0907	0.642242	-0.5992	0.027685	-0.3886	0.048131
Tyrosine	Cz07g30090	AT3G44620	(1 of 1) 3.1.3.2//3.1.3.48 - acid phosphatase. / phosphomonoesterase. // protein-tyrosine-phosphatase. / PTPase.	0.1736	0.217709	0.5539	0.132354	0.5166	0.061039	0.1363	0.380492
Chloroplast_Function	Cz07g30110	AT3G22840	(1 of 1) PTHR14154:SF5 - EARLY LIGHT-INDUCED PROTEIN 1, CHLOROPLASTIC-RELATED	0.2627	0.258132	0.9312	0.00956	0.5448	0.023839	-0.1237	0.207941
RNA_Splicing	Cz07g30200	AT2G35690	(1 of 1) PTHR10909:SF376 - PEROXISOMAL ACYL-COENZYME A OXIDASE 1.2-RELATED	0.2397	0.338581	0.0188	0.968967	-0.7783	0.048291	-0.5574	0.057274
Protein_Proteolysis	Cz07g30220	AT1G73990	(1 of 1) K04773 - protease IV [EC:3.4.21.-] (sppA)	0.8518	0.180945	1.0463	0.117283	-1.0898	0.009992	-1.2843	0.028294
RNA_Splicing	Cz07g30230	AT4G03430	(1 of 1) K12855 - pre-mRNA-processing factor 6 (PRPF6, PRP6)	0.132	0.641951	-0.0072	0.985953	-0.8391	0.037517	-0.7	0.063063
RNA_Splicing	Cz07g30240	AT4G03430	(1 of 1) K12855 - pre-mRNA-processing factor 6 (PRPF6, PRP6)	0.1407	0.296801	0.0323	0.861037	-0.7293	0.022418	-0.6209	0.017591
Vitamin_C_Ascorbate	Cz07g31020	AT5G49990	(1 of 1) PTHR11119:SF100 - NUCLEOBASE-ASCORBATE TRANSPORTER 5	0.1452	0.353274	-0.1654	0.665552	-5.8029	0.011089	-5.4923	0.022756
Chloroplast_Function	Cz07g31050	AT3G23710	(1 of 1) PTHR33926:SF1 - PROTEIN TIC 22-LIKE, CHLOROPLASTIC	0.067	0.385401	0.1658	0.316642	0.0298	0.725598	-0.069	0.07667
Protein_Proteolysis	Cz07g31060	AT5G53170	(1 of 1) PTHR23076:SF128 - ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 11, CHLOROPLASTIC_MITOCHONDRIAL	0.1444	0.274455	0.3495	0.195615	-0.1312	0.273445	-0.3363	0.076375
Protein_Methylation	Cz07g31110	AT1G08125	(1 of 1) PTHR14614:SF98 - PROTEIN-LYSINE N-METHYLTRANSFERASE EFM6	0.1828	0.444572	0.1941	0.436294	0.1735	0.290224	0.1622	0.330614
Protein_Acetylation	Cz07g31170	AT4G31400	(1 of 1) K11268 - N-acetyltransferase [EC:2.3.1.-] (ESCO, ECO1)	0.3745	0.298872	-0.1602	0.265899	-0.6621	0.031411	-0.1274	0.511931
Protein_Acetylation	Cz07g31180	AT4G31400	(1 of 1) K11268 - N-acetyltransferase [EC:2.3.1.-] (ESCO, ECO1)	0.0101	0.984085	-0.156	0.537218	-0.3565	0.269377	-0.1903	0.494578
Lipid_Hydrolase	Cz07g31230	AT1G33270	(1 of 1) KOG3773 - Adiponutrin and related vesicular transport proteins; predicted alpha/beta hydrolase	0.2216	0.77818	-0.4229	0.642464	-3.5838	0.10902	-2.9393	0.053404
RNA_Polymerase	Cz07g31260	AT5G45140	(1 of 1) K03021 - DNA-directed RNA polymerase III subunit RPC2 (RPC2, POLR3B)	0.0437	0.794814	-0.0342	0.88536	-0.5777	0.014962	-0.4999	0.049945
Meiosis_Recombination	Cz07g31270	AT1G67370	(1 of 1) PTHR48225:SF7 - MEIOSIS-SPECIFIC PROTEIN HOP1	0	NA	0	NA	0	NA	0	NA
Cytoskeleton	Cz07g32070	AT5G12250	(1 of 1) PTHR11588:SF106 - TUBULIN BETA-6 CHAIN	0.5535	0.327828	-0.5238	0.237907	-2.1233	0.042985	-1.0461	0.12068
Chloroplast_Function	Cz07g32150	AT1G76080	(1 of 1) PTHR47578:SF1 - THIOREDOXIN-LIKE PROTEIN CDSP32, CHLOROPLASTIC	-0.1865	0.288644	-0.118	0.171797	0.4911	0.020321	0.4226	0.022725
ABC_Transporter	Cz07g32170	AT5G60790	(1 of 1) K06185 - ATP-binding cassette, subfamily F, member 2 (ABCF2)	-0.0959	0.45553	0.1761	0.243052	0.1081	0.210407	-0.164	0.142844
Vitamin_C_Ascorbate	Cz07g32180	AT3G47930	(1 of 1) 1.3.2.3//1.6.5.3 - L-galactonolactone dehydrogenase. / L-galactono-gamma-lactone dehydrogenase. // NADH:ubiquinone reductase (H(+)-translocating). / ubiquinone reductase.	-0.1451	0.638159	0.7739	0.155227	-1.0005	0.073473	-1.9194	0.021873
Glycine_Betaine	Cz07g32200	AT4G38640	(1 of 1) PTHR12385:SF98 - CHOLINE TRANSPORTER-LIKE PROTEIN	0.4933	0.255394	1.1156	0.374691	-0.9774	0.070797	-1.5997	0.02147
Selective_Autophagy	Cz07g32220	AT2G47070	(1 of 2) PTHR31251:SF132 - SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 1-RELATED	0.0409	0.612403	0.0241	0.941368	-0.5786	0.03619	-0.5618	0.054631
RNA_Degradation	Cz07g33030	AT3G46210	(1 of 1) K12590 - exosome complex component RRP46 (RRP46, EXOSC5)	-0.0074	0.884411	0.1862	0.116968	-0.0847	0.084328	-0.2782	0.027666
Translation	Cz07g33040	AT2G46290	(1 of 2) K03246 - translation initiation factor 3 subunit I (EIF3I)	-0.1578	0.275379	0.3365	0.160891	0.3197	0.033875	-0.1745	0.097489
Translation	Cz07g33050	ATCG00065	(1 of 5) K02950 - small subunit ribosomal protein S12 (RP-S12, MRPS12, rpsL)	0.0498	0.416275	0.4602	0.150103	0.1184	0.295256	-0.292	0.024081
Protein_Proteolysis	Cz07g33090	AT3G03420	(1 of 1) K18156 - mitochondrial inner membrane protease ATP23 [EC:3.4.24.-] (ATP23, XRCC6BP1)	0.312	0.294586	0.2778	0.368752	-0.3986	0.030631	-0.3643	0.150466
Seed_Storage_LEA	Cz07g33120	AT1G47980	(1 of 1) PTHR31694:SF12 - DESICCATION-LIKE PROTEIN	0.826	0.265367	1.9274	0.117611	-0.4759	0.166351	-1.5773	0.044586
Proline	Cz08g00020	AT4G25600	(1 of 1) PTHR10869:SF102 - PROLYL 4-HYDROXYLASE 12-RELATED	0.0545	0.710553	0.108	0.711627	-0.5574	0.03112	-0.611	0.065015
Translation	Cz08g00040	AT2G18400	(1 of 1) PTHR11655:SF17 - RIBOSOMAL PROTEIN L6-RELATED	0.1073	0.359525	0.2204	0.184472	0.0438	0.509341	-0.0692	0.445069
Two_Component_Signaling	Cz08g00050	AT4G16110	(1 of 1) PTHR43874:SF222 - TWO-COMPONENT RESPONSE REGULATOR ARR2	-0.0257	0.863477	0.1166	0.529074	-0.0413	0.493333	-0.1835	0.231285
Sulfur_Amino_Acid_Cycle	Cz08g00060	AT5G26600	(1 of 1) PTHR43092:SF2 - HERCYNYLCYSTEINE SULFOXIDE LYASE	0.1649	0.641867	-0.33	0.356958	-0.2782	0.247946	0.2168	0.413027
Transcription	Cz08g00080	AT5G47140	(1 of 1) PTHR46855:SF2 - GATA TRANSCRIPTION FACTOR 27	0.0947	0.61296	0.2097	0.316235	-0.4091	0.066225	-0.5241	0.025045
Chloroplast_Function	Cz08g00120	AT3G22840	(1 of 1) PTHR14154:SF5 - EARLY LIGHT-INDUCED PROTEIN 1, CHLOROPLASTIC-RELATED	3.2956	0.255394	3.4548	0.14329	-4.3778	0.055522	-4.5371	0.029046
Vesicle_Trafficking	Cz08g00150	AT2G36900	(1 of 2) K08496 - golgi SNAP receptor complex member 2 (GOSR2, BOS1)	0.1014	0.51238	0.2851	0.193487	0.3289	0.060371	0.1452	0.228639
