og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37TEF	2.0346	2.1938	2.4732	2.4282	1.3486	2.6238	2.5951	2.4787	2.1630	2.1212	2.2162	0.7209	0.9689	2.5619	1.4416	0.6176
37TEG	1.7256	1.4936	1.3375	1.8610	0.8923	2.0498	1.9887	1.8454	1.3523	1.6574	1.7183	0.2370	0.6979	1.9161	0.9176	1.7417
37TEH	0.4531	2.6438	1.6698	1.1638	0.5110	1.5403	1.7990	0.3831	2.4111	1.4650	0.3670	0.1224	2.6543	1.0402	1.5521	0.9656
37TEI	0.2182	0.1221	0.0481	0.1085	0.0325	0.0956	0.0499	0.0884	0.0933	0.1309	0.1334	0.0027	0.0009	0.1064	0.0047	0.0005
37TEJ	0.1662	0.3247	0.1985	0.3046	0.1664	0.3673	0.2587	0.2431	0.2861	0.3781	0.2611	0.0100	0.0045	0.3964	0.2869	0.0607
37TEK	0.2335	0.8496	0.5803	0.2197	0.1104	0.3570	0.1233	1.2541	0.6901	0.4726	0.1867	0.0375	1.3872	0.2494	0.0796	0.1841
37TEM	1.8449	1.1096	2.4480	1.0911	0.5472	1.0475	0.8336	2.2745	1.0980	1.3535	2.0861	0.4194	2.1972	1.5311	0.2719	0.4677
37TEN	0.0021	0.0048	0.0342	0.0061	0.6602	0.0354	0.0015	0.0674	0.0274	0.0547	0.0062	0.3000	0.3350	0.0042	0.0115	0.0116
37TEP	0.8448	0.6149	0.7324	1.5652	0.2992	0.8419	1.2040	0.6889	0.5880	0.6807	0.7003	0.1300	0.1848	0.7098	0.1372	0.1516
37TEQ	3.9956	3.8308	3.8488	3.8989	2.6136	4.1277	3.9544	4.0137	3.7736	3.8887	4.0979	1.2139	3.3872	4.1151	2.5504	1.7520
37TER	2.5664	0.6249	0.8642	2.4345	0.7641	0.8796	2.1790	1.1384	0.6976	1.2752	2.1743	0.6316	0.0233	0.9875	0.2599	1.7574
