experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 15	CHLRE_14g616826v5	NULL	NULL	tpms	0	Cre14.g616826	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_14g616826v5	NULL	NULL	tpms	0.2	Cre14.g616826	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_14g616826v5	0.032	4	tpms	8	Cre14.g616826	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_14g616826v5	NULL	NULL	tpms	0.2	Cre14.g616826	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_14g616826v5	NULL	NULL	tpms	0.1	Cre14.g616826	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_14g616826v5	NULL	NULL	tpms	0.2	Cre14.g616826	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_17g713700v5	NULL	NULL	tpms	0.2	Cre17.g713700	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_17g713700v5	NULL	NULL	tpms	0.1	Cre17.g713700	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_17g713700v5	NULL	NULL	tpms	0.1	Cre17.g713700	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_17g713700v5	NULL	NULL	tpms	0	Cre17.g713700	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_17g713700v5	0.0338	5	tpms	6	Cre17.g713700	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_17g713700v5	NULL	NULL	tpms	0.1	Cre17.g713700	g6
