experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 12	CHLRE_14g610400v5	NULL	NULL	fpkms	0	Cre14.g610400	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_14g610400v5	NULL	NULL	fpkms	0.9	Cre14.g610400	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_14g610400v5	0.2776	11	fpkms	11	Cre14.g610400	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_14g610400v5	NULL	NULL	fpkms	0.7	Cre14.g610400	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_14g610400v5	NULL	NULL	fpkms	0.6	Cre14.g610400	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_14g610400v5	NULL	NULL	fpkms	0.1	Cre14.g610400	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_14g610400v5	NULL	NULL	fpkms	0.1	Cre14.g610400	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_01g055151v5	NULL	NULL	fpkms	0.4	Cre01.g055151	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_01g055151v5	NULL	NULL	fpkms	0.3	Cre01.g055151	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_01g055151v5	NULL	NULL	fpkms	0.6	Cre01.g055151	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_01g055151v5	0.285	12	fpkms	2	Cre01.g055151	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_01g055151v5	NULL	NULL	fpkms	0.4	Cre01.g055151	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_01g055151v5	NULL	NULL	fpkms	0.2	Cre01.g055151	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_01g055151v5	NULL	NULL	fpkms	0.1	Cre01.g055151	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_01g055151v5	NULL	NULL	fpkms	0.2	Cre01.g055151	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_17g702200v5	NULL	NULL	fpkms	10	Cre17.g702200	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_17g702200v5	NULL	NULL	fpkms	2	Cre17.g702200	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_17g702200v5	NULL	NULL	fpkms	5	Cre17.g702200	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_17g702200v5	0.2935	13	fpkms	33	Cre17.g702200	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_17g702200v5	NULL	NULL	fpkms	5	Cre17.g702200	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_17g702200v5	NULL	NULL	fpkms	9	Cre17.g702200	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_17g702200v5	NULL	NULL	fpkms	6	Cre17.g702200	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_17g702200v5	NULL	NULL	fpkms	4	Cre17.g702200	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_11g467700v5	NULL	NULL	fpkms	266	Cre11.g467700	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_11g467700v5	NULL	NULL	fpkms	3	Cre11.g467700	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_11g467700v5	NULL	NULL	fpkms	107	Cre11.g467700	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_11g467700v5	0.299	14	fpkms	895	Cre11.g467700	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_11g467700v5	NULL	NULL	fpkms	86	Cre11.g467700	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_11g467700v5	NULL	NULL	fpkms	162	Cre11.g467700	g6
