Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Protein_Kinase_Signalling	Cre03.g210065	Cre03.g210065	ATP binding protein kinase activity protein phosphorylation nucleotide binding cytoplasm signal transduction	0.3624	0.911324	-0.0841	0.89186	0.9451	0.633067	0.4987	0.66768
Vitamin_B2_Riboflavin	Cre03.g210513	Cre03.g210513	FMN binding oxidoreductase activity cytosol oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	0.9734	0.763672	-0.0854	0.896627	1.0424	0.627762	-0.0164	0.98699
Serine	Cre03.g210849	Cre03.g210849	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	0.8661	0.765014	0.4803	0.567563	1.1884	0.627762	0.8027	0.606213
Phospholipid_Biosynthesis	Cre03.g210961	Cre03.g210961	phosphatidylinositol transfer activity phospholipid transport	0.3292	0.794562	0.1452	0.752923	0.9749	0.627762	0.7908	0.606213
Serine	Cre03.g211073	Cre03.g211073	protein serine/threonine phosphatase activity cation binding hydrolase activity metal ion binding phosphoprotein phosphatase activity signal transduction protein dephosphorylation	0.8013	0.790343	-1.1349	0.283834	0.7294	0.627762	-1.2068	0.663441
Fatty_Acid	Cre03.g211745	Cre03.g211745	lipid metabolic process ligase activity fatty acid metabolic process	0.7068	0.763672	0.2258	0.625742	1.2302	0.627762	0.7493	0.606213
Lysine	Cre03.g212977	Cre03.g212977	regulation of DNA-templated transcription histone acetyltransferase activity transferase activity nucleus metal ion binding chromatin organization zinc ion binding transcription coactivator activity positive regulation of transcription by RNA polymerase II transcription regulator complex chromatin DNA binding histone acetyltransferase complex chromatin remodeling protein-lysine-acetyltransferase activity	0.2876	0.914973	0.2075	0.832845	1.3077	0.627762	1.2277	0.610555
Fatty_Acid	Cre03.g213313	Cre03.g213313	oxidoreductase activity oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor fatty acid biosynthetic process quinone binding	-0.0591	0.977497	-0.7778	0.279242	0.9646	0.627762	0.2459	0.765901
Translation	Cre03.g213537	Cre03.g213537	cytosol nascent polypeptide-associated complex	-1.5294	0.763672	-1.3977	0.207791	0.4944	0.633399	0.6261	0.620376
Serine	Cre04.g211600	Cre04.g211600	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity protein serine kinase activity	-0.1483	0.92354	-0.3357	0.38092	1.081	0.627762	0.8936	0.606213
Ubiquitin_Proteasome	Cre04.g211700	Cre04.g211700	cytoplasm ubiquitin ligase complex protein binding	-1.4068	0.765014	-0.0379	0.983434	0.1313	0.936758	1.5001	0.64038
Sucrose	Cre04.g211750	Cre04.g211750	membrane metal ion binding signaling receptor activity response to sucrose	1.1433	0.763672	1.2859	0.265477	0.8576	0.627762	1.0003	0.606213
Translation	Cre04.g211800	Cre04.g211800	translation ribosome structural constituent of ribosome cytosolic large ribosomal subunit large ribosomal subunit rRNA binding ribonucleoprotein complex	0.0068	0.997131	-0.0198	0.971881	0.5879	0.627762	0.5613	0.66768
Ubiquitin_Proteasome	Cre04.g212100	Cre04.g212100	cytoplasm ubiquitin ligase complex protein binding	0.0454	0.985102	0.4571	0.594782	0.8783	0.627762	1.29	0.606213
Serine	Cre04.g212300	Cre04.g212300	protein serine/threonine phosphatase activity signal transduction protein dephosphorylation protein binding	-0.2223	0.919944	0.5223	0.676841	0.3916	0.755872	1.1363	0.617776
Ubiquitin_Proteasome	Cre04.g212401	Cre04.g212401	transferase activity ubiquitin conjugating enzyme activity	1.6474	0.763672	1.3564	0.376491	1.0457	0.627762	0.7547	0.621988
Serine	Cre04.g213400	Cre04.g213400	serine-type endopeptidase activity serine-type peptidase activity proteolysis hydrolase activity peptidase activity	0	NA	-0.9185	0.594782	0.9185	0.637243	0	NA
Purine	Cre04.g213500	Cre04.g213500	tRNA (guanine(46)-N7)-methyltransferase activity tRNA modification transferase activity methyltransferase activity methylation tRNA processing tRNA (guanine-N7)-methylation tRNA methylation RNA (guanine-N7)-methylation tRNA methyltransferase complex	0.4291	0.787658	0.6399	0.617384	0.4099	0.659482	0.6207	0.691949
Ubiquitin_Proteasome	Cre04.g213650	Cre04.g213650	cytoplasm ubiquitin protein ligase binding proteasome-mediated ubiquitin-dependent protein catabolic process regulation of proteolysis protein binding	-0.813	0.819063	-0.4918	0.742181	0.5527	0.749858	0.8739	0.60926
Ubiquitin_Proteasome	Cre04.g213800	Cre04.g213800	ubiquitin ligase complex transferase activity metal ion binding zinc ion binding ubiquitin protein ligase activity chromatin binding protein ubiquitination PcG protein complex	1.4659	0.763672	1.1914	0.289271	1.1628	0.627762	0.8883	0.606213
Serine	Cre04.g213904	Cre04.g213904	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity nucleus cyclin-dependent protein serine/threonine kinase activity mediator complex cyclin-dependent protein kinase holoenzyme complex regulation of cell cycle regulation of transcription by RNA polymerase II RNA polymerase II CTD heptapeptide repeat kinase activity	0.4518	0.82655	-0.279	0.594782	1.3079	0.627762	0.5771	0.606213
Chaperone	Cre04.g213985	Cre04.g213985	nucleus protein-folding chaperone binding protein folding cytoplasm protein folding chaperone	-0.7879	0.765014	-1.2484	0.238404	0.328	0.740344	-0.1326	0.857642
TCA_Cycle	Cre04.g214500	Cre04.g214500	NAD binding magnesium ion binding oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor isocitrate dehydrogenase (NADP+) activity isocitrate metabolic process oxidoreductase activity metal ion binding tricarboxylic acid cycle mitochondrion glyoxylate cycle NADP+ metabolic process	-2.0985	0.763672	-2.0529	0.260145	0.2456	0.761716	0.2911	0.721
RNA_Processing	Cre04.g214501	Cre04.g214501	RNA binding nucleic acid binding polyribonucleotide nucleotidyltransferase activity mRNA catabolic process transferase activity rRNA processing nucleotidyltransferase activity tRNA processing cytosol mitochondrion 3'-5'-RNA exonuclease activity mitochondrial mRNA catabolic process mitochondrial RNA 3'-end processing	-1.4841	0.763672	-1.4499	0.134319	0.3953	0.674355	0.4295	0.669602
Glycolysis	Cre04.g214502	Cre04.g214502	galactose metabolic process UDP-glucose 4-epimerase activity isomerase activity cytosol monosaccharide metabolic process	-0.6933	0.787986	-0.8789	0.224021	0.5759	0.637243	0.3903	0.665005
Translation	Cre04.g214503	Cre04.g214503	translation ribosome structural constituent of ribosome cytosolic small ribosomal subunit ribosomal small subunit biogenesis ribonucleoprotein complex cytosolic ribosome maintenance of translational fidelity small ribosomal subunit	-0.299	0.899049	0.4087	0.541474	0.5574	0.627762	1.2651	0.606213
RNA_Processing	Cre04.g214690	Cre04.g214690	nucleolar ribonuclease P complex tRNA 5'-leader removal ribonuclease MRP complex tRNA processing	0.4065	0.808706	0.6893	0.373175	0.4528	0.627762	0.7355	0.606213
Transcription	Cre04.g214850	Cre04.g214850	nucleus cytoplasm regulation of transcription by RNA polymerase II DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II cis-regulatory region sequence-specific DNA binding	-0.6408	0.833412	-1.0017	0.499409	0.6949	0.658602	0.334	0.715724
Beta_Carotene	Cre04.g215050	Cre04.g215050	iron ion binding oxidoreductase activity lipid biosynthetic process carotenoid biosynthetic process beta-carotene 3-hydroxylase activity carotene metabolic process	-0.8319	0.874722	-2.0215	0.406594	1.728	0.627762	0.5384	0.716547
Starch	Cre04.g215150	Cre04.g215150	glycosyltransferase activity alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity transferase activity chloroplast starch biosynthetic process amyloplast	1.9802	0.763672	2.4246	0.391991	0.1405	0.8583	0.585	0.708052
Translation	Cre04.g215350	Cre04.g215350	RNA binding ribosome biogenesis small-subunit processome rRNA processing nucleolus positive regulation of transcription by RNA polymerase I protein binding	0.3906	0.855414	0.8634	0.364785	0.8168	0.627762	1.2896	0.606213
Protein_Kinase_Signalling	Cre04.g215400	Cre04.g215400	ATP binding protein kinase activity protein phosphorylation chloroplast	0.702	0.763672	0.2926	0.513892	2.3918	0.627762	1.9823	0.606213
Ubiquitin_Proteasome	Cre04.g215450	Cre04.g215450	cytoplasm ubiquitin ligase complex protein binding	0.6274	0.785925	0.1344	0.831524	0.2467	0.853239	-0.2464	0.783122
Ubiquitin_Proteasome	Cre04.g215750	Cre04.g215750	ubiquitin binding nucleoplasm kinetochore mitotic spindle assembly checkpoint signaling bub1-bub3 complex protein binding	-0.6849	0.775431	-1.2221	0.130649	0.9843	0.627762	0.4472	0.66768
Proline	Cre04.g215950	Cre04.g215950	peptidyl-prolyl cis-trans isomerase activity protein peptidyl-prolyl isomerization nucleus catalytic step 2 spliceosome	-0.0315	0.985102	-0.6724	0.302339	0.4198	0.637243	-0.2211	0.802252
Transcription	Cre04.g216200	Cre04.g216200	regulation of DNA-templated transcription DNA-binding transcription factor activity protein dimerization activity DNA binding nucleus	9.2887	0.763672	8.0846	0.330612	1.3251	0.627762	0.1211	0.924537
Transcription	Cre04.g216204	Cre04.g216204	regulation of DNA-templated transcription DNA-binding transcription factor activity protein dimerization activity DNA binding nucleus	8.9333	0.763672	6.8653	0.30158	2.1707	0.627762	0.1027	0.925612
Ubiquitin_Proteasome	Cre04.g216300	Cre04.g216300	proteasome assembly	-0.9136	0.765014	-1.5451	0.134562	0.5297	0.637243	-0.1018	0.940995
Ubiquitin_Proteasome	Cre04.g216600	Cre04.g216600	ATP binding ATP hydrolysis activity nucleus nucleotide binding cytoplasm proteasome complex proteasome regulatory particle, base subcomplex proteasome-mediated ubiquitin-dependent protein catabolic process	-0.8613	0.763672	-0.8106	0.303689	0.5773	0.627762	0.628	0.606213
Fatty_Acid	Cre04.g216950	Cre04.g216950	acyltransferase activity fatty acid biosynthetic process 3-oxoacyl-[acyl-carrier-protein] synthase activity transferase activity lipid metabolic process acyltransferase activity, transferring groups other than amino-acyl groups fatty acid metabolic process fatty acid elongation beta-ketoacyl-acyl-carrier-protein synthase III activity	-1.9506	0.763672	-1.9115	0.054932	0.6839	0.627762	0.7231	0.606213
Phospholipid_Biosynthesis	Cre04.g217050	Cre04.g217050	actin binding membrane organization phospholipid binding actin cytoskeleton cell projection assembly	0.9926	0.763672	0.3851	0.487121	1.2133	0.627762	0.6058	0.606213
Purine	Cre04.g217500	Cre04.g217500	hydrolase activity, hydrolyzing N-glycosyl compounds hydrolase activity hydrolase activity, acting on glycosyl bonds cytosol purine nucleosidase activity purine nucleoside catabolic process	-0.863	0.765014	0.7451	0.596328	1.0879	0.627762	2.6961	0.606213
Translation	Cre04.g217550	Cre04.g217550	RNA binding translation initiation factor activity eukaryotic translation initiation factor 3 complex translation initiation factor binding translational initiation formation of cytoplasmic translation initiation complex cytoplasmic translational initiation translation cytoplasm eukaryotic 43S preinitiation complex eukaryotic 48S preinitiation complex	0.0418	0.983923	0.1538	0.808536	0.7633	0.627762	0.8754	0.606213
Serine	Cre04.g217700	Cre04.g217700	nucleus cytoplasm intracellular signal transduction calmodulin binding calcium-dependent protein serine/threonine kinase activity calcium/calmodulin-dependent protein kinase activity	2.2234	0.763672	1.8207	0.291623	0.8911	0.627762	0.4885	0.66768
Asparagine	Cre04.g217912	Cre04.g217912	protein-N-terminal asparagine amidohydrolase activity hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides hydrolase activity cytosol nucleus protein-N-terminal glutamine amidohydrolase activity	0.4488	0.806494	1.0392	0.318594	0.857	0.627762	1.4474	0.606213
Transcription	Cre04.g217917	Cre04.g217917	nucleus regulation of DNA-templated transcription DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II cis-regulatory region sequence-specific DNA binding regulation of transcription by RNA polymerase II	0	NA	3.3548	0.594782	0	NA	3.3548	0.66768
Vitamin_E_Tocopherol	Cre04.g217920	Cre04.g217920	kinase activity transferase activity metal ion binding chloroplast membrane zinc ion binding phytol kinase activity	1.0102	0.765014	0.9051	0.274236	0.6606	0.633399	0.5555	0.66768
Ubiquitin_Proteasome	Cre04.g217922	Cre04.g217922	transferase activity metal ion binding endoplasmic reticulum membrane zinc ion binding ubiquitin protein ligase activity endomembrane system proteasome-mediated ubiquitin-dependent protein catabolic process ERAD pathway	-0.2466	0.897309	-0.4827	0.410424	0.2603	0.726718	0.0242	0.984177
Serine	Cre04.g217923	Cre04.g217923	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	-4.0277	0.765014	-3.9956	0.357777	1.0106	0.652204	1.0428	0.66768
Fatty_Acid	Cre04.g217924	Cre04.g217924	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water membrane oxidoreductase activity lipid metabolic process fatty acid biosynthetic process fatty acid metabolic process endoplasmic reticulum membrane very long-chain fatty acid biosynthetic process unsaturated fatty acid biosynthetic process	1.3866	0.765014	0.6239	0.433595	1.4653	0.627762	0.7026	0.610123
Serine	Cre04.g217928	Cre04.g217928	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	-6.8931	0.765014	-4.0804	0.133391	-0.4446	0.814418	2.3681	0.606213
Proline	Cre04.g217931	Cre04.g217931	iron ion binding oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen L-ascorbic acid binding oxidoreductase activity metal ion binding endoplasmic reticulum membrane dioxygenase activity endoplasmic reticulum procollagen-proline 4-dioxygenase activity	-0.8084	0.765014	0.2108	0.669996	0.3117	0.689972	1.3308	0.606213
Translation	Cre04.g217932	Cre04.g217932	translation ribosome structural constituent of ribosome large ribosomal subunit ribonucleoprotein complex	-1.7996	0.763672	-2.184	0.16134	0.7062	0.627762	0.3218	0.780853
Ubiquitin_Proteasome	Cre04.g217935	Cre04.g217935	proteasome assembly cytoplasm proteasome complex nucleus molecular adaptor activity ERAD pathway	0.3289	0.949762	1.5376	0.509473	-0.1763	0.941025	1.0325	0.69826
Fatty_Acid	Cre04.g217939	Cre04.g217939	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water membrane oxidoreductase activity lipid metabolic process fatty acid biosynthetic process fatty acid metabolic process endoplasmic reticulum membrane very long-chain fatty acid biosynthetic process unsaturated fatty acid biosynthetic process	0.436	0.925111	-0.0818	0.923689	1.6229	0.627762	1.1052	0.618528
Serine	Cre04.g217940	Cre04.g217940	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	-1.6982	0.765014	-1.7215	0.594782	0.0233	0.991548	0	NA
Serine	Cre04.g217943	Cre04.g217943	ATP binding protein kinase activity protein phosphorylation protein serine/threonine kinase activity signal transduction	-1.5898	0.765014	-3.2412	0.548439	1.393	0.670154	-0.2584	0.872505
Fatty_Acid	Cre04.g217945	Cre04.g217945	lipid metabolic process oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water membrane oxidoreductase activity fatty acid biosynthetic process fatty acid metabolic process endoplasmic reticulum membrane very long-chain fatty acid biosynthetic process unsaturated fatty acid biosynthetic process	0.9805	0.765014	0.4048	0.631511	1.4121	0.627762	0.8364	0.606683
